time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1766385835253015000,85.92401513671875,-0.14693903923034668,-0.028655920177698135,0.17804960906505585,0.9725667834281921,-0.0036522652953863144,-0.3626484274864197,0.29922977089881897
1766385835263015000,85.93401489257812,-0.14657796919345856,-0.028269652277231216,0.17692145705223083,0.9728384017944336,-0.003353304695338011,-0.3602619767189026,0.29848042130470276
1766385835273015000,85.94401513671875,-0.14607425034046173,-0.027965467423200607,0.17639648914337158,0.973018229007721,-0.003084625117480755,-0.3591131269931793,0.2974642515182495
1766385835283015000,85.95401489257813,-0.14588524401187897,-0.027529362589120865,0.1761717051267624,0.9730997681617737,-0.0023236831184476614,-0.3585294187068939,0.2971985638141632
1766385835293015000,85.96401513671876,-0.14575879275798798,-0.026767844334244728,0.1751425862312317,0.9733257293701172,-0.0011208892101421952,-0.35623157024383545,0.2970956861972809
1766385835303015000,85.97401489257813,-0.14576880633831024,-0.025819774717092514,0.17302240431308746,0.9737289547920227,0.00017002018284983933,-0.3516862094402313,0.2972264885902405
1766385835313015000,85.98401513671875,-0.14589066803455353,-0.024949563667178154,0.17093276977539062,0.9741023778915405,0.0013486196985468268,-0.3472272753715515,0.297565221786499
1766385835323015000,85.99401489257812,-0.14605697989463806,-0.024169621989130974,0.16939063370227814,0.9743664860725403,0.0025293310172855854,-0.3438958525657654,0.29802247881889343
1766385835333015000,86.00401513671875,-0.14635127782821655,-0.023481084033846855,0.1680772751569748,0.9745665788650513,0.0036384614650160074,-0.34105122089385986,0.2987401783466339
1766385835343015000,86.01401489257813,-0.1467137485742569,-0.02282179519534111,0.16667574644088745,0.9747684001922607,0.004680200945585966,-0.33803829550743103,0.29957878589630127
1766385835353015000,86.02401513671875,-0.1472485214471817,-0.021856039762496948,0.16493213176727295,0.9750064611434937,0.0063012270256876945,-0.3342452645301819,0.3008438050746918
1766385835363015000,86.03401489257813,-0.14767344295978546,-0.02074219472706318,0.1628771275281906,0.9753119349479675,0.008080553263425827,-0.32978343963623047,0.30188480019569397
1766385835373015000,86.04401513671876,-0.14824026823043823,-0.019685134291648865,0.1608138531446457,0.975590169429779,0.00978216901421547,-0.32532110810279846,0.3031969964504242
1766385835383015000,86.05401489257812,-0.14875835180282593,-0.01903560571372509,0.15988761186599731,0.9756764769554138,0.01099368091672659,-0.3232612609863281,0.3043959140777588
1766385835393015000,86.06401513671875,-0.14894284307956696,-0.018714480102062225,0.15999825298786163,0.97563636302948,0.01175362803041935,-0.3233819007873535,0.30490240454673767
1766385835403015000,86.07401489257812,-0.14938747882843018,-0.01797059364616871,0.16030018031597137,0.9755328297615051,0.013535451143980026,-0.32375144958496094,0.30611804127693176
1766385835413015000,86.08401513671875,-0.14961400628089905,-0.017522158101201057,0.16092310845851898,0.9754037261009216,0.014741905964910984,-0.32485684752464294,0.30681687593460083
1766385835423015000,86.09401489257813,-0.14926037192344666,-0.017334161326289177,0.16125574707984924,0.975406289100647,0.015116647817194462,-0.3254702091217041,0.30617377161979675
1766385835433015000,86.10401513671874,-0.14888052642345428,-0.01683736965060234,0.16117249429225922,0.9754868149757385,0.015979589894413948,-0.32515621185302734,0.3055271804332733
1766385835443015000,86.11401489257813,-0.14852958917617798,-0.0162114966660738,0.1607174277305603,0.9756259918212891,0.016995232552289963,-0.32405805587768555,0.30493858456611633
